user_id,country,rec_item_1,rec_item_2,rec_item_3,rec_item_4,rec_item_5
12387.0,Australia,22328,21915,22548,21955,85038
12388.0,Australia,22328,21915,22548,21955,85038
12389.0,Australia,22328,21915,22548,21955,85038
12390.0,Belgium,22328,21915,22548,21955,85038
12391.0,Cyprus,22328,85038,21915,22548,21955
12392.0,Australia,22549,22548,22328,22244,21915
12393.0,Australia,22328,21915,22548,21955,85038
12394.0,Belgium,22328,21915,22548,21955,85038
12395.0,Belgium,22549,22548,22328,22244,21915
12396.0,RSA,22328,85038,21915,22548,21955
12397.0,Belgium,22328,85038,21915,22548,21955
12398.0,Switzerland,22549,22548,22328,21915,21902
12399.0,Belgium,22328,85038,21915,22548,21955
12400.0,Australia,85038,22328,21915,22548,21955
12401.0,Belgium,22328,85038,21915,22548,21955
12402.0,Belgium,22328,21915,22548,21955,85038
12403.0,Denmark,22328,85038,21915,22548,21955
12404.0,Finland,22328,85038,21915,22548,21955
12405.0,Finland,22549,22548,22328,22244,21915
12406.0,Denmark,22328,22549,22548,21915,20713
12407.0,Belgium,22328,22549,22548,21915,20713
12408.0,Belgium,22549,22548,22328,22244,21915
12409.0,Switzerland,22328,85038,21915,22548,21955
12410.0,Switzerland,22328,85038,21915,22548,21955
12411.0,Australia,85038,22328,21915,22548,21955
12412.0,Denmark,85038,22328,21915,22548,21955
12413.0,Spain,22328,21915,22548,21955,85038
12414.0,Austria,22549,22548,22328,22244,21915
12415.0,Australia,22548,22328,22352,21915,22244
12416.0,Australia,22328,22548,21915,85038,21955
12417.0,Spain,22328,21915,22548,21955,85038
12418.0,Switzerland,22328,21915,22548,21955,85038
12419.0,Spain,22328,21915,22548,21955,85038
12420.0,Cyprus,22328,22548,21915,85038,21955
12421.0,Spain,22328,85038,21915,22548,21955
12422.0,Australia,85038,22328,21915,22548,21955
12423.0,Denmark,22328,22548,21915,85038,21955
12424.0,Australia,22549,22548,22328,22244,21915
12425.0,Portugal,22328,22548,21915,85038,21955
12426.0,Germany,22328,21915,22548,21955,85038
12427.0,Germany,85038,22328,21915,22548,21955
12428.0,Finland,22549,22548,22328,22244,21915
12429.0,Denmark,22328,85038,21915,22548,21955
12430.0,Norway,22328,21915,22548,21955,85038
12431.0,Belgium,22328,22548,85038,21915,21955
12432.0,Norway,85038,22548,22328,21915,21955
12433.0,Norway,85038,22548,22328,21915,21955
12434.0,Australia,22328,22549,22548,21915,20713
12435.0,Denmark,22328,21915,22548,21955,85038
12436.0,Norway,22549,22548,22328,22244,21915
12437.0,France,22244,22730,47591C,21035,22077
12438.0,Norway,22328,85038,21915,22548,21955
12439.0,Cyprus,22328,21915,22548,21955,85038
12440.0,Austria,22244,22730,47591C,21035,22077
12441.0,France,22244,22730,47591C,21035,22077
12442.0,Spain,22328,21915,22548,21955,85038
12443.0,Norway,22549,22548,22328,22244,21915
12444.0,Norway,22244,22730,47591C,21035,22077
12445.0,Spain,22548,22328,22352,21915,22244
12446.0,RSA,22244,22730,47591C,21035,22077
12447.0,Belgium,22549,22548,22328,22244,21915
12448.0,Spain,22328,21915,22548,21955,85038
12449.0,Denmark,22548,22328,22352,21915,22244
12450.0,Spain,22328,22548,21915,85038,21955
12451.0,Switzerland,22244,22730,47591C,21035,22077
12452.0,Switzerland,22244,22730,47591C,21035,22077
12453.0,Austria,22328,22548,21915,85038,21955
12454.0,Spain,22549,22548,22328,21915,21902
12455.0,Spain,22328,85038,21915,22548,21955
12456.0,Switzerland,22328,22548,21915,85038,21955
12457.0,Switzerland,22328,85038,21915,22548,21955
12458.0,Switzerland,22549,22548,22328,22244,21915
12459.0,Spain,22328,22548,21915,85038,21955
12460.0,Belgium,85038,22328,21915,22548,21955
12461.0,Switzerland,85038,22328,21915,22548,21955
12462.0,Spain,22328,21915,22548,21955,85038
12463.0,Belgium,22328,22548,21915,85038,21955
12464.0,Belgium,22328,22548,21915,85038,21955
12465.0,Belgium,22549,22548,22328,22244,21915
12466.0,France,85038,22328,21915,22548,21955
12467.0,USA,85038,22328,21915,22548,21955
12468.0,Germany,22549,22548,22328,22244,21915
12469.0,Thailand,85038,22328,21915,22548,21955
12470.0,Unspecified,22328,22548,21915,85038,21955
12471.0,Germany,22328,85038,21915,22548,21955
12472.0,Germany,85038,22328,21915,22548,21955
12473.0,Germany,22328,22548,21915,85038,21955
12474.0,Germany,22328,85038,21915,22548,21955
12475.0,Germany,22328,85038,21915,22548,21955
12476.0,Germany,22328,85038,21915,22548,21955
12477.0,Germany,22548,22328,22352,21915,22244
12478.0,Greece,22328,22548,21915,21902,21955
12479.0,Germany,85038,22548,22328,21915,21955
12480.0,Germany,22548,22549,22328,21915,21955
12481.0,Germany,22549,22548,22328,21915,22244
12482.0,Sweden,85038,22548,22328,21915,21955
12483.0,Sweden,85038,22548,22328,21915,21955
12484.0,Spain,85038,22548,22328,21915,21955
12485.0,Sweden,85038,22548,22328,21915,21955
12486.0,Sweden,85038,22548,22328,21915,21955
12487.0,Sweden,85038,22548,22328,21915,21955
12488.0,France,85038,22548,22328,21915,21955
12489.0,France,22328,22548,21915,85038,21955
12490.0,France,85038,22548,22328,21915,21955
12491.0,France,85038,22548,22328,21915,21955
12492.0,Germany,85038,22548,22328,21915,21955
12493.0,France,22549,22328,22548,21915,21902
12494.0,France,22549,22328,22548,21915,21902
12495.0,Sweden,22328,22548,21915,85038,21955
12496.0,Spain,22549,22328,22548,21915,21902
12497.0,Germany,22549,22328,22548,21915,21902
12498.0,Germany,22549,22328,22548,21915,21902
12499.0,Germany,22548,22328,22352,21915,22244
12500.0,Germany,22548,22328,22352,21915,22244
12501.0,Germany,22548,22328,22352,21915,22244
12502.0,Spain,22548,22328,22352,21915,22244
12503.0,Spain,85038,22548,22328,21915,21955
12504.0,Germany,22548,22328,22352,21915,22244
12505.0,Italy,22548,22328,22352,21915,22244
12506.0,France,22549,22328,22548,21915,21902
12507.0,Spain,22328,22548,21915,85038,21955
12508.0,France,85038,22548,22328,21915,21955
12509.0,France,85038,22548,22328,21915,21955
12510.0,Spain,85038,22548,22328,21915,21955
12511.0,Greece,85038,22548,22328,21915,21955
12512.0,Israel,85038,22548,22328,21915,21955
12513.0,France,22328,22548,21915,85038,21955
12514.0,Italy,22328,22548,21915,85038,21955
12515.0,Italy,85038,22548,22328,21915,21955
12516.0,Germany,22328,21915,22548,20713,21902
12517.0,Germany,22548,22328,22352,21915,22244
12518.0,Germany,22328,22548,21915,85038,21955
12519.0,Germany,22548,22328,22352,21915,22244
12520.0,Germany,22548,22328,22352,21915,22244
12521.0,Germany,22328,22548,21915,85038,21955
12522.0,Germany,22328,22548,21915,85038,21955
12523.0,France,22244,22549,22731,22730,22077
12524.0,Germany,22548,22328,22352,21915,22244
12525.0,France,22328,21915,22548,20713,21902
12526.0,Germany,22328,21915,22548,20713,21902
12527.0,Germany,85038,22548,22328,21915,21955
12528.0,Germany,85038,22548,22328,21915,21955
12529.0,France,85038,22548,22328,21915,21955
12530.0,Germany,85038,22548,22328,21915,21955
12531.0,Germany,85038,22548,22328,21915,21955
12532.0,France,85038,22548,22328,21915,21955
12533.0,Germany,85038,22548,22328,21915,21955
12534.0,Germany,22548,22328,22352,21915,22244
12535.0,France,85038,22548,22328,21915,21955
12536.0,France,22548,22328,22352,21915,22244
12537.0,Sweden,85038,22548,22328,21915,21955
12538.0,Spain,85038,22548,22328,21915,21955
12539.0,Spain,85038,22548,22328,21915,21955
12540.0,Spain,22548,22328,22352,21915,22244
12541.0,Spain,85038,22548,22328,21915,21955
12542.0,Spain,85038,22548,22328,21915,21955
12543.0,Spain,22548,22328,22352,21915,22244
12544.0,Spain,85038,22548,22328,21915,21955
12545.0,Spain,85038,22548,22328,21915,21955
12546.0,Spain,22548,22328,22352,21915,22244
12547.0,Spain,22548,22328,22352,21915,22244
12548.0,Spain,22549,22328,22548,21915,21902
12549.0,USA,22328,22548,21915,85038,21955
12550.0,Spain,22328,22548,21915,85038,21955
12551.0,Spain,22328,22548,21915,85038,21955
12552.0,Italy,22328,22548,21915,85038,21955
12553.0,France,22328,22548,21915,85038,21955
12554.0,Spain,22328,22548,21915,85038,21955
12555.0,Spain,22328,22548,21915,85038,21955
12556.0,Spain,22328,22548,21915,85038,21955
12557.0,Spain,22328,22548,21915,85038,21955
12558.0,USA,22328,22548,21915,85038,21955
12559.0,Germany,22328,22548,21915,85038,21955
12560.0,Germany,22328,22548,21915,21902,21955
12561.0,Germany,22328,22548,21915,85038,21955
12562.0,France,22328,22548,21915,85038,21955
12563.0,Italy,22328,21915,22548,20713,21902
12564.0,France,22548,22328,22352,21915,22244
12565.0,Saudi Arabia,22328,22548,21915,85038,21955
12566.0,Germany,22328,22548,21915,85038,21955
12567.0,France,22328,22548,21915,85038,21955
12568.0,Germany,22328,22548,21915,85038,21955
12569.0,Germany,22328,22548,21915,21902,21955
12570.0,Spain,85038,22548,22328,21915,21955
12571.0,France,85038,22548,22328,21915,21955
12572.0,Germany,85038,22548,22328,21915,21955
12573.0,France,22548,22328,22352,21915,22244
12574.0,France,22328,21915,22548,20713,21902
12575.0,France,22548,22328,22352,21915,22244
12576.0,Poland,22549,22548,22328,21915,21902
12577.0,France,85038,22548,22328,21915,21955
12578.0,Italy,22548,22328,22352,21915,22244
12579.0,France,85038,22548,22328,21915,21955
12580.0,Germany,85038,22548,22328,21915,21955
12581.0,Germany,22328,22548,21915,85038,21955
12582.0,Finland,22548,22328,22352,21915,22244
12583.0,France,85038,22548,22328,21915,21955
12584.0,Italy,22548,22328,22352,21915,22244
12585.0,Germany,22548,22328,22352,21915,22244
12586.0,Italy,22548,22328,22352,21915,22244
12587.0,Finland,22549,22548,22328,22244,21915
12588.0,Finland,22548,22328,22352,21915,22244
12589.0,France,22328,21915,22548,20713,21902
12590.0,Germany,22548,22328,22352,21915,22244
12591.0,Italy,85038,22548,22328,21915,21955
12592.0,Germany,85038,22548,22328,21915,21955
12593.0,France,22328,22549,22548,21915,20713
12594.0,Italy,22548,22328,22352,21915,22244
12595.0,Germany,22328,21915,22548,20713,21902
12596.0,Spain,85038,22548,22328,21915,21955
12597.0,Spain,22328,21915,22548,20713,21902
12598.0,France,22328,22549,22548,21915,20713
12599.0,France,22328,22549,22548,21915,20713
12600.0,Germany,22548,22328,22352,21915,22244
12601.0,Germany,85038,22548,22328,21915,21955
12602.0,France,22328,21915,22548,20713,21902
12603.0,Germany,85038,22548,22328,21915,21955
12604.0,France,22548,22328,22352,21915,22244
12605.0,Germany,22328,21915,22548,20713,21902
12606.0,Spain,85038,22548,22328,21915,21955
12607.0,USA,22328,22548,21915,85038,21955
12608.0,United Kingdom,22328,22548,21915,85038,21955
12609.0,Germany,22548,22328,22352,21915,22244
12610.0,Italy,22548,22328,22352,21915,22244
12611.0,Italy,85038,22548,22328,21915,21955
12612.0,Germany,85038,22548,22328,21915,21955
12613.0,Germany,22548,22328,22352,21915,22244
12614.0,Germany,85038,22548,22328,21915,21955
12615.0,France,22548,22328,22352,21915,22244
12616.0,France,85038,22548,22328,21915,21955
12617.0,France,22328,22548,21915,85038,21955
12618.0,Italy,22328,22548,21915,21902,21955
12619.0,Germany,85038,22328,84946,21915,21755
12620.0,France,85038,22548,22328,21915,21955
12621.0,Germany,22328,21915,22548,20713,21902
12622.0,Germany,22328,21915,22548,20713,21902
12623.0,Germany,85038,22548,22328,21915,21955
12624.0,France,85038,22548,22328,21915,21955
12625.0,Germany,85038,22548,22328,21915,21955
12626.0,Germany,22548,22328,22352,21915,22244
12627.0,Germany,22548,22328,22352,21915,22244
12628.0,Germany,22548,22328,22352,21915,22244
12629.0,Sweden,22328,21915,22548,20713,21902
12630.0,Finland,85038,22548,22328,21915,21955
12631.0,Finland,22548,22328,22352,21915,22244
12632.0,Germany,85038,22548,22328,21915,21955
12633.0,Germany,85038,22548,22328,21915,21955
12634.0,USA,85038,22548,22328,21915,21955
12635.0,Germany,22548,22328,22352,21915,22244
12636.0,USA,85038,22548,22328,21915,21955
12637.0,France,85038,22548,22328,21915,21955
12638.0,Sweden,85038,22548,22328,21915,21955
12639.0,Sweden,85038,22548,22328,21915,21955
12640.0,France,22549,22328,22548,21915,21902
12641.0,Sweden,22328,22549,22548,21915,20713
12642.0,Germany,22328,22549,22548,21915,20713
12643.0,France,85038,22548,22328,21915,21955
12644.0,Germany,85038,22548,22328,21915,21955
12645.0,Germany,22328,22548,21915,21902,21955
12646.0,USA,85038,22548,22328,21915,21955
12647.0,Germany,22328,22548,21915,21902,21955
12648.0,Germany,22548,22328,22352,21915,22244
12649.0,Germany,22549,22328,22548,21915,21902
12650.0,France,22549,22328,22548,21915,21902
12651.0,France,22548,22328,22352,21915,22244
12652.0,Germany,22549,22328,22548,21915,21902
12653.0,Israel,85038,22548,22328,21915,21955
12654.0,Germany,22548,22328,22352,21915,22244
12655.0,France,85038,22548,22328,21915,21955
12656.0,France,85038,22548,22328,21915,21955
12657.0,France,22328,22548,21915,21902,21955
12658.0,Germany,85038,22548,22328,21915,21955
12659.0,France,85038,22548,22328,21915,21955
12660.0,France,85038,22548,22328,21915,21955
12661.0,Sweden,22548,22328,22352,21915,22244
12662.0,Germany,22548,22328,22352,21915,22244
12663.0,Germany,85038,22548,22328,21915,21955
12664.0,Finland,22548,22328,22352,21915,22244
12665.0,Germany,22244,22549,22731,22730,22077
12666.0,Israel,85038,22548,22328,21915,21955
12667.0,Finland,22548,22328,22352,21915,22244
12668.0,Germany,22548,22328,22352,21915,22244
12669.0,France,22548,22328,22352,21915,22244
12670.0,France,85038,22548,22328,21915,21955
12671.0,Germany,22548,22328,22352,21915,22244
12672.0,France,22548,22328,22352,21915,22244
12673.0,Germany,22549,22328,22548,21915,21902
12674.0,France,85038,22548,22328,21915,21955
12675.0,Italy,85038,22548,22328,21915,21955
12676.0,Sweden,22328,22549,22548,21915,20713
12677.0,France,85038,22548,22328,21915,21955
12678.0,France,22244,22549,22731,22730,22077
12679.0,France,22328,22549,22548,21915,20713
12680.0,France,85038,22548,22328,21915,21955
12681.0,France,22548,22328,22352,21915,22244
12682.0,France,22548,22328,22352,21915,22244
12683.0,France,85038,22548,22328,21915,21955
12684.0,France,22548,22328,22352,21915,22244
12685.0,France,85038,22548,22328,21915,21955
12686.0,France,22548,22328,22352,21915,22244
12687.0,Sweden,22328,21915,22548,20713,21902
12688.0,Israel,22549,22328,22548,21915,21902
12689.0,France,22548,22328,22352,21915,22244
12690.0,France,22548,22328,22352,21915,22244
12691.0,France,22548,22328,22352,21915,22244
12692.0,France,22548,22328,22352,21915,22244
12693.0,Germany,22548,22328,22352,21915,22244
12694.0,France,22548,22328,22352,21915,22244
12695.0,France,22548,22328,22352,21915,22244
12696.0,Finland,22548,22328,22352,21915,22244
12697.0,Sweden,22548,22328,22352,21915,22244
12698.0,Germany,22548,22328,22352,21915,22244
12699.0,Germany,22549,22328,22548,21915,21902
12700.0,France,22244,22549,22731,22730,22077
12701.0,Germany,22548,22328,22352,21915,22244
12702.0,Germany,22548,22328,22352,21915,22244
12703.0,Germany,22548,22328,22352,21915,22244
12704.0,Finland,22548,22328,22352,21915,22244
12705.0,Germany,85038,22548,22328,21915,21955
12707.0,France,22548,22328,22352,21915,22244
12708.0,Germany,22548,22328,22352,21915,22244
12709.0,Germany,22328,22549,22548,21915,20713
12710.0,Germany,22549,22328,22548,21915,21902
12711.0,Germany,85038,22548,22328,21915,21955
12712.0,Germany,85038,22548,22328,21915,21955
12713.0,Germany,22548,22328,22352,21915,22244
12714.0,France,85038,22548,22328,21915,21955
12715.0,Sweden,85038,22548,22328,21915,21955
12716.0,France,85038,22548,22328,21915,21955
12717.0,Greece,22328,22549,22548,21915,20713
12718.0,France,85038,22548,22328,21915,21955
12719.0,France,22548,22328,22352,21915,22244
12720.0,Germany,85038,22548,22328,21915,21955
12721.0,France,85038,22548,22328,21915,21955
12722.0,France,85038,22548,22328,21915,21955
12723.0,France,85038,22548,22328,21915,21955
12724.0,France,85038,22548,22328,21915,21955
12725.0,Italy,85038,22548,22328,21915,21955
12726.0,France,22548,22328,22352,21915,22244
12727.0,France,22549,22328,22548,21915,21902
12728.0,France,22548,22328,22352,21915,22244
12729.0,France,22328,22548,21915,85038,21955
12730.0,Germany,22548,22328,22352,21915,22244
12731.0,France,22548,22328,22352,21915,22244
12732.0,France,85038,22548,22328,21915,21955
12733.0,USA,22548,22328,22352,21915,22244
12734.0,France,22548,22328,22352,21915,22244
12735.0,France,22548,22328,22352,21915,22244
12736.0,France,22548,22328,22352,21915,22244
12737.0,France,22328,21915,22548,20713,21902
12738.0,Germany,22548,22328,22352,21915,22244
12739.0,United Arab Emirates,22548,22328,22352,21915,22244
12740.0,France,22548,22328,22352,21915,22244
12741.0,USA,22548,22328,22352,21915,22244
12742.0,United Arab Emirates,85038,22548,22328,21915,21955
12743.0,Unspecified,22548,22328,22352,21915,22244
12744.0,Singapore,22548,22328,22352,21915,22244
12745.0,United Kingdom,22328,22548,21915,21902,21955
12746.0,United Kingdom,22548,22328,22352,21915,22244
12747.0,United Kingdom,22548,22328,22352,21915,22244
12748.0,United Kingdom,22548,22328,22352,21915,22244
12749.0,United Kingdom,22548,22328,22352,21915,22244
12750.0,Poland,85038,22548,22328,21915,21955
12751.0,Brazil,22549,22548,22328,21915,20713
12752.0,Norway,22548,22328,22352,21915,22244
12753.0,Japan,22328,22548,21915,21902,21955
12754.0,Japan,22549,22548,22328,21915,20713
12755.0,Japan,22549,22548,22328,21915,22244
12756.0,Japan,22549,22548,22328,21915,22244
12757.0,Portugal,22549,22548,22328,21915,21902
12758.0,Portugal,85038,22328,84946,21915,21755
12759.0,Netherlands,85038,22328,84946,21915,21755
12760.0,Netherlands,85038,22328,84946,21915,21755
12761.0,Netherlands,85038,22328,84946,21915,21755
12762.0,Portugal,85038,22328,84946,21915,21755
12763.0,Japan,22549,22548,22328,22244,21915
12764.0,Lebanon,22549,22548,22328,21915,22244
12765.0,Netherlands,22244,22730,47591C,21035,22077
12766.0,Portugal,22548,22328,21915,22549,21955
12767.0,Korea,22548,22328,21915,22549,21955
12768.0,Korea,22548,22328,21915,22549,21955
12769.0,Brazil,22548,22328,21915,22549,21955
12770.0,Japan,22328,22548,85038,21915,21955
12771.0,Portugal,22328,22548,85038,21915,21955
12772.0,Portugal,22549,22548,21915,22328,22244
12773.0,Portugal,22549,22548,21915,22328,22244
12774.0,Netherlands,22549,22548,21915,22328,22244
12775.0,Netherlands,22328,22548,85038,21915,21955
12776.0,Portugal,22548,22328,21915,22549,21955
12777.0,United Kingdom,22549,22548,22328,21915,21902
12778.0,Netherlands,22549,22548,21915,22328,22244
12779.0,Poland,22328,22548,85038,21915,21955
12780.0,Netherlands,22549,22548,22328,21915,21902
12781.0,Czech Republic,22549,22548,22328,21915,21902
12782.0,Portugal,22549,22548,22328,21915,22244
12783.0,Portugal,22548,22328,21915,22549,21955
12784.0,Portugal,22328,22548,85038,21915,21955
12785.0,Portugal,22328,22548,85038,21915,21955
12786.0,Netherlands,22328,22548,85038,21915,21955
12787.0,Netherlands,22549,22548,21915,22328,22244
12788.0,Netherlands,22549,22548,21915,22328,22244
12789.0,Netherlands,22328,22548,85038,21915,21955
12790.0,Netherlands,85038,22328,84946,21915,21755
12791.0,Netherlands,22549,22548,21915,22328,22244
12792.0,Portugal,22549,22548,22328,22244,21915
12793.0,Portugal,22549,22548,21915,22328,22244
12794.0,Portugal,22548,22549,22328,21915,21955
12795.0,Portugal,22328,22548,85038,21915,21955
12796.0,Netherlands,22328,22548,85038,21915,21955
12797.0,Portugal,22328,22548,85038,21915,21955
12798.0,Japan,22328,22548,85038,21915,21955
12799.0,Japan,22549,22548,21915,22328,22244
12800.0,Portugal,22549,22548,21915,22328,22244
12801.0,Sweden,22549,22548,21915,22328,22244
12802.0,Netherlands,22549,22548,21915,22328,22244
12803.0,Netherlands,22549,22548,21915,22328,22244
12804.0,Netherlands,22549,22548,21915,22328,22244
12805.0,Netherlands,22328,22548,85038,21915,21955
12806.0,Netherlands,22328,22548,85038,21915,21955
12807.0,Sweden,22328,22548,85038,21915,21955
12808.0,Portugal,22328,22548,85038,21915,21955
12809.0,Portugal,22549,22548,21915,22328,22244
12810.0,Japan,22328,22548,85038,21915,21955
12811.0,Portugal,22548,22328,21915,22549,21955
12812.0,Japan,22548,22328,21915,22549,21955
12813.0,Netherlands,22328,22548,85038,21915,21955
12814.0,Poland,22549,22328,22548,21915,21902
12815.0,Poland,22549,22548,21915,22328,22244
12816.0,Poland,22549,22548,21915,22328,22244
12817.0,Austria,22549,22548,21915,22328,22244
12818.0,Austria,22549,22548,21915,22328,22244
12819.0,United Kingdom,22549,22548,21915,22328,22244
12820.0,United Kingdom,22549,22328,22548,21915,21902
12821.0,United Kingdom,22328,22548,85038,21915,21955
12822.0,United Kingdom,22328,22548,85038,21915,21955
12823.0,United Kingdom,22548,22328,21915,22549,21955
12824.0,United Kingdom,22328,22548,85038,21915,21955
12825.0,United Kingdom,22548,22328,21915,22549,21955
12826.0,United Kingdom,22549,22548,21915,22328,22244
12827.0,United Kingdom,22549,22548,22328,22244,21915
12828.0,United Kingdom,22549,22548,22328,22244,21915
12829.0,United Kingdom,22549,22548,22328,22244,21915
12830.0,United Kingdom,22328,21915,22548,21955,85038
12831.0,United Kingdom,22328,21915,22548,21955,85038
12832.0,United Kingdom,85038,22328,84946,21915,21755
12833.0,United Kingdom,85038,22328,84946,21915,21755
12834.0,United Kingdom,85038,22328,84946,21915,21755
12835.0,United Kingdom,85038,22328,84946,21915,21755
12836.0,United Kingdom,85038,22328,84946,21915,21755
12837.0,United Kingdom,85038,22328,84946,21915,21755
12838.0,United Kingdom,85038,22328,84946,21915,21755
12839.0,United Kingdom,85038,22328,84946,21915,21755
12840.0,United Kingdom,85038,22328,84946,21915,21755
12841.0,United Kingdom,85038,22328,84946,21915,21755
12842.0,United Kingdom,85038,22328,84946,21915,21755
12843.0,United Kingdom,85038,22328,84946,21915,21755
12844.0,United Kingdom,85038,22328,84946,21915,21755
12845.0,United Kingdom,85038,22328,84946,21915,21755
12846.0,United Kingdom,85038,22328,84946,21915,21755
12847.0,United Kingdom,85038,22328,84946,21915,21755
12848.0,United Kingdom,85038,22328,84946,21915,21755
12849.0,United Kingdom,85038,22328,84946,21915,21755
12850.0,United Kingdom,85038,22328,84946,21915,21755
12851.0,United Kingdom,85038,22328,84946,21915,21755
12852.0,United Kingdom,85038,22328,84946,21915,21755
12853.0,United Kingdom,85038,22328,84946,21915,21755
12854.0,United Kingdom,85038,22328,84946,21915,21755
12855.0,United Kingdom,85038,22328,84946,21915,21755
12856.0,United Kingdom,85038,22328,84946,21915,21755
12857.0,United Kingdom,85038,22328,84946,21915,21755
12858.0,United Kingdom,85038,22328,84946,21915,21755
12859.0,United Kingdom,85038,22328,84946,21915,21755
12860.0,United Kingdom,85038,22328,84946,21915,21755
12861.0,United Kingdom,85038,22328,84946,21915,21755
12862.0,United Kingdom,85038,22328,84946,21915,21755
12863.0,United Kingdom,85038,22328,84946,21915,21755
12864.0,United Kingdom,85038,22328,84946,21915,21755
12865.0,Austria,85038,22328,84946,21915,21755
12866.0,Belgium,85038,22328,84946,21915,21755
12867.0,United Kingdom,85038,22328,84946,21915,21755
12868.0,United Kingdom,85038,22328,84946,21915,21755
12869.0,United Kingdom,85038,22328,84946,21915,21755
12870.0,United Kingdom,85038,22328,84946,21915,21755
12871.0,United Kingdom,85038,22328,84946,21915,21755
12872.0,United Kingdom,85038,22328,84946,21915,21755
12873.0,United Kingdom,85038,22328,84946,21915,21755
12874.0,Belgium,85038,22328,84946,21915,21755
12875.0,United Kingdom,85038,22328,84946,21915,21755
12876.0,Belgium,85038,22328,84946,21915,21755
12877.0,United Kingdom,85038,22328,84946,21915,21755
12878.0,United Kingdom,22328,21915,22548,21955,85038
12879.0,United Kingdom,22328,85038,21915,22548,21955
12880.0,United Kingdom,85038,22328,84946,21915,21755
12881.0,United Kingdom,85038,22328,84946,21915,21755
12882.0,United Kingdom,85038,22328,84946,21915,21755
12883.0,United Kingdom,85038,22328,84946,21915,21755
12884.0,United Kingdom,85038,22328,84946,21915,21755
12885.0,United Kingdom,85038,22328,84946,21915,21755
12886.0,United Kingdom,85038,22328,84946,21915,21755
12887.0,United Kingdom,22328,85038,21915,22548,21955
12888.0,United Kingdom,85038,22328,84946,21915,21755
12889.0,United Kingdom,22328,85038,21915,22548,21955
12890.0,United Kingdom,85038,22328,84946,21915,21755
12891.0,United Kingdom,85038,22328,84946,21915,21755
12892.0,United Kingdom,85038,22328,84946,21915,21755
12893.0,United Kingdom,85038,22328,84946,21915,21755
12894.0,United Kingdom,85038,22328,84946,21915,21755
12895.0,United Kingdom,85038,22328,84946,21915,21755
12897.0,United Kingdom,85038,22328,84946,21915,21755
12898.0,United Kingdom,85038,22328,84946,21915,21755
12899.0,United Kingdom,85038,22328,84946,21915,21755
12900.0,United Kingdom,85038,22328,84946,21915,21755
12901.0,United Kingdom,85038,22328,84946,21915,21755
12902.0,United Kingdom,85038,22328,84946,21915,21755
12903.0,United Kingdom,85038,22328,84946,21915,21755
12904.0,United Kingdom,85038,22328,84946,21915,21755
12905.0,United Kingdom,85038,22328,84946,21915,21755
12906.0,United Kingdom,85038,22328,84946,21915,21755
12907.0,United Kingdom,85038,22328,84946,21915,21755
12908.0,United Kingdom,85038,22328,84946,21915,21755
12909.0,United Kingdom,85038,22328,84946,21915,21755
12910.0,United Kingdom,85038,22328,84946,21915,21755
12911.0,United Kingdom,85038,22328,84946,21915,21755
12912.0,United Kingdom,85038,22328,84946,21915,21755
12913.0,United Kingdom,85038,22328,84946,21915,21755
12914.0,United Kingdom,85038,22328,84946,21915,21755
